baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,y
34.77801709,2.849327047,0.258825278,11.00868922,3.47E-28,1.05E-26,0
176.2395225,-3.566569758,0.283117163,-12.59750459,2.18E-36,1.08E-34,0
2078.167627,-2.244153275,0.206088936,-10.88924673,1.30E-27,3.79E-26,0
600.5837419,3.110666672,0.390134648,7.973315597,1.54E-15,1.69E-14,0
270.9213718,0.939189301,0.170984046,5.49284758,3.96E-08,1.77E-07,0
961.4311674,-1.423893246,0.23752063,-5.99481925,2.04E-09,1.07E-08,0
1729.993808,-2.535757354,0.311573409,-8.138555097,4.00E-16,4.63E-15,0
73.70946228,1.376289932,0.453531694,3.034605853,0.002408502,0.00505874,0
6.030611129,-1.802160296,0.585485392,-3.078061929,0.002083516,0.004429908,0
919.1026842,0.810645482,0.166507621,4.868518803,1.12E-06,4.11E-06,0
949.5572866,2.82226708,0.327445787,8.619036159,6.75E-18,9.27E-17,0
232.6396257,1.206168836,0.306196949,3.939192868,8.18E-05,0.000223354,0
99.82488521,3.688823318,0.571499931,6.454634756,1.08E-10,6.69E-10,0
2390.166163,3.55002182,0.420016944,8.452091922,2.86E-17,3.67E-16,0
1042.972642,1.904809013,0.245798391,7.749477152,9.23E-15,9.28E-14,0
59.10878153,-2.631506498,0.418940215,-6.281341359,3.36E-10,1.95E-09,0
970.5529126,0.968196539,0.268465368,3.606411308,0.000310461,0.000767427,0
248.6434196,1.19461515,0.261449865,4.569193981,4.90E-06,1.63E-05,0
2.649890868,4.145674244,1.113551032,3.722931528,0.000196923,0.000504728,0
939.0272239,2.070169352,0.224762688,9.210467153,3.25E-20,5.39E-19,0
76.5172368,-7.91360374,0.795282156,-9.950686906,2.50E-23,5.29E-22,0
5.422265537,-3.94335063,0.819862505,-4.809770671,1.51E-06,5.42E-06,0
640.9350966,-2.674552445,0.967064807,-2.765639311,0.005681133,0.01107262,0
1790.615055,-5.211040586,0.675882659,-7.709978225,1.26E-14,1.24E-13,0
19.47989141,3.195012363,1.59911073,1.997993199,0.045717397,0.072514004,0
67.83523146,5.492285949,0.987169951,5.563668085,2.64E-08,1.21E-07,0
1145.509098,1.518364519,0.20833486,7.28809628,3.14E-13,2.64E-12,0
14.02442238,-2.160387732,0.481833214,-4.483683711,7.34E-06,2.37E-05,0
7996.017403,7.259103242,0.82755398,8.771757993,1.76E-18,2.53E-17,0
313.2141249,1.861477666,0.230237019,8.085049384,6.21E-16,7.07E-15,0
81.457231,2.690308787,0.74520503,3.610159187,0.000306009,0.000757018,0
1384.681869,-1.766329149,0.314930388,-5.608633585,2.04E-08,9.49E-08,0
94.2659146,-2.001500965,0.621698181,-3.219409396,0.001284549,0.002840493,0
1077.80308,1.033586071,0.165528332,6.244164129,4.26E-10,2.44E-09,0
